TimeSlot,Available_Slots,Hour,Day,IsWeekend,Sin_Hour,Cos_Hour
0,7,0,0,0,0.0,1.0
1,7,1,0,0,0.13052619222005157,0.9914448613738102
2,8,2,0,0,0.2588190451025208,0.9659258262890684
3,5,3,0,0,0.3826834323650898,0.9238795325112866
4,8,4,0,0,0.4999999999999999,0.8660254037844386
5,7,5,0,0,0.6087614290087205,0.7933533402912353
6,5,6,0,0,0.7071067811865476,0.7071067811865477
7,8,7,0,0,0.7933533402912353,0.6087614290087207
8,8,8,0,0,0.8660254037844385,0.5000000000000001
9,7,9,0,0,0.9238795325112866,0.38268343236508984
10,5,10,0,0,0.9659258262890684,0.2588190451025208
11,7,11,0,0,0.9914448613738103,0.1305261922200517
12,5,12,0,0,1.0,6.123233995736766e-17
13,2,13,0,0,0.9914448613738103,-0.1305261922200516
14,0,14,0,0,0.9659258262890685,-0.2588190451025207
15,1,15,0,0,0.9238795325112868,-0.3826834323650895
16,1,16,0,0,0.8660254037844387,-0.4999999999999997
17,1,17,0,0,0.7933533402912353,-0.6087614290087205
18,1,18,0,0,0.7071067811865477,-0.7071067811865475
19,1,19,0,0,0.6087614290087208,-0.793353340291235
20,4,20,0,0,0.4999999999999999,-0.8660254037844386
21,0,21,0,0,0.3826834323650899,-0.9238795325112866
22,9,22,0,0,0.258819045102521,-0.9659258262890684
23,5,23,0,0,0.130526192220052,-0.9914448613738103
24,8,24,0,0,1.2246467991473532e-16,-1.0
25,0,25,0,0,-0.13052619222005177,-0.9914448613738102
26,9,26,0,0,-0.25881904510252085,-0.9659258262890684
27,2,27,0,0,-0.38268343236508967,-0.9238795325112867
28,6,28,0,0,-0.4999999999999997,-0.8660254037844387
29,3,29,0,0,-0.6087614290087205,-0.7933533402912353
30,8,30,0,0,-0.7071067811865471,-0.707106781186548
31,2,31,0,0,-0.793353340291235,-0.6087614290087209
32,4,32,0,0,-0.8660254037844383,-0.5000000000000003
33,2,33,0,0,-0.9238795325112867,-0.3826834323650895
34,1,34,0,0,-0.9659258262890684,-0.2588190451025207
35,2,35,0,0,-0.9914448613738103,-0.13052619222005163
36,0,36,0,0,-1.0,-1.8369701987210297e-16
37,0,37,0,0,-0.9914448613738103,0.13052619222005127
38,0,38,0,0,-0.9659258262890685,0.25881904510252035
39,3,39,0,0,-0.9238795325112868,0.3826834323650892
40,8,40,0,0,-0.8660254037844385,0.5
41,1,41,0,0,-0.7933533402912358,0.6087614290087198
42,9,42,0,0,-0.7071067811865477,0.7071067811865474
43,8,43,0,0,-0.6087614290087209,0.793353340291235
44,8,44,0,0,-0.5000000000000003,0.8660254037844383
45,5,45,0,0,-0.38268343236508956,0.9238795325112867
46,9,46,0,0,-0.25881904510252157,0.9659258262890682
47,3,47,0,0,-0.13052619222005168,0.9914448613738102
48,8,0,1,0,0.0,1.0
49,7,1,1,0,0.13052619222005157,0.9914448613738102
50,5,2,1,0,0.2588190451025208,0.9659258262890684
51,5,3,1,0,0.3826834323650898,0.9238795325112866
52,8,4,1,0,0.4999999999999999,0.8660254037844386
53,7,5,1,0,0.6087614290087205,0.7933533402912353
54,7,6,1,0,0.7071067811865476,0.7071067811865477
55,9,7,1,0,0.7933533402912353,0.6087614290087207
56,7,8,1,0,0.8660254037844385,0.5000000000000001
57,7,9,1,0,0.9238795325112866,0.38268343236508984
58,7,10,1,0,0.9659258262890684,0.2588190451025208
59,6,11,1,0,0.9914448613738103,0.1305261922200517
60,9,12,1,0,1.0,6.123233995736766e-17
61,5,13,1,0,0.9914448613738103,-0.1305261922200516
62,1,14,1,0,0.9659258262890685,-0.2588190451025207
63,0,15,1,0,0.9238795325112868,-0.3826834323650895
64,2,16,1,0,0.8660254037844387,-0.4999999999999997
65,0,17,1,0,0.7933533402912353,-0.6087614290087205
66,0,18,1,0,0.7071067811865477,-0.7071067811865475
67,7,19,1,0,0.6087614290087208,-0.793353340291235
68,6,20,1,0,0.4999999999999999,-0.8660254037844386
69,8,21,1,0,0.3826834323650899,-0.9238795325112866
70,7,22,1,0,0.258819045102521,-0.9659258262890684
71,4,23,1,0,0.130526192220052,-0.9914448613738103
72,1,24,1,0,1.2246467991473532e-16,-1.0
73,4,25,1,0,-0.13052619222005177,-0.9914448613738102
74,7,26,1,0,-0.25881904510252085,-0.9659258262890684
75,9,27,1,0,-0.38268343236508967,-0.9238795325112867
76,8,28,1,0,-0.4999999999999997,-0.8660254037844387
77,8,29,1,0,-0.6087614290087205,-0.7933533402912353
78,0,30,1,0,-0.7071067811865471,-0.707106781186548
79,8,31,1,0,-0.793353340291235,-0.6087614290087209
80,6,32,1,0,-0.8660254037844383,-0.5000000000000003
81,8,33,1,0,-0.9238795325112867,-0.3826834323650895
82,0,34,1,0,-0.9659258262890684,-0.2588190451025207
83,2,35,1,0,-0.9914448613738103,-0.13052619222005163
84,2,36,1,0,-1.0,-1.8369701987210297e-16
85,0,37,1,0,-0.9914448613738103,0.13052619222005127
86,0,38,1,0,-0.9659258262890685,0.25881904510252035
87,0,39,1,0,-0.9238795325112868,0.3826834323650892
88,7,40,1,0,-0.8660254037844385,0.5
89,2,41,1,0,-0.7933533402912358,0.6087614290087198
90,2,42,1,0,-0.7071067811865477,0.7071067811865474
91,0,43,1,0,-0.6087614290087209,0.793353340291235
92,8,44,1,0,-0.5000000000000003,0.8660254037844383
93,8,45,1,0,-0.38268343236508956,0.9238795325112867
94,9,46,1,0,-0.25881904510252157,0.9659258262890682
95,9,47,1,0,-0.13052619222005168,0.9914448613738102
96,9,0,2,0,0.0,1.0
97,7,1,2,0,0.13052619222005157,0.9914448613738102
98,8,2,2,0,0.2588190451025208,0.9659258262890684
